         N	   Psi Max	     X Max	     Y Max	      Time
         8	0.57395768	     0.125	     0.125	         0
        16	0.74705322	    0.1875	    0.1875	         0
        32	0.78684436	   0.15625	   0.15625	         0
        64	0.79755185	  0.171875	  0.171875	         0
       128	0.79963485	 0.1640625	 0.1640625	         0
       256	0.80044492	0.16796875	0.16796875	      0.01
       512	0.80054028	0.16796875	0.16796875	      0.03
      1024	0.80058962	0.16699219	0.16699219	      0.16
      2048	0.80059558	0.16699219	0.16699219	       0.9
      4096	0.80059897	0.16723633	0.16723633	      4.95
      8192	0.80059935	0.16723633	0.16723633	     23.44
     16384	0.80059948	0.16717529	0.16717529	    130.41
